record_type,schema_version,character_name,health,mana,rage,speed,slot,unlock_level,name,definition,activation_type,cast_time,cooldown,range_type,target_area,element,path,animation,use_weapon_animation,health_cost,mana_cost,rage_cost,description,effect_1_type,effect_1_value,effect_1_duration,effect_2_type,effect_2_value,effect_2_duration,effect_3_type,effect_3_value,effect_3_duration,effect_4_type,effect_4_value,effect_4_duration,effect_5_type,effect_5_value,effect_5_duration,effect_6_type,effect_6_value,effect_6_duration,effect_7_type,effect_7_value,effect_7_duration,effect_8_type,effect_8_value,effect_8_duration
SCHEMA,2,text; required,number > 0,number >= 0,number >= 0,number >= 0,unique integer 1-12,integer >= 1,text; required,Attack|Heal|Buff|Debuff|<blank>,Instant,seconds: 0|0.5|1|2|3|4|5,seconds: 1|2|3|4|5|10|30|60,Self|Melee|Missile|number >= 0,Single|Small Area|Large Area|number >= 0,Physical|Light|Dark|Fire|Ice|Water|Electric|Earth,Arc|Ballistic|Straight|Missile|Skybeam,attack|attackdouble|attackheavy|attackspin|attackheadbutt|cast|castcharge|castswish|castforce,true|false,number >= 0,number >= 0,number >= 0,text; <blank> erases; blank preserves base PNG,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect
CHARACTER,2,Skeleton,9,0,10,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REFERENCE,2,,,,,,,,Effect reference 1/3,,,,,,,,,,,,,,Do not turn this row into a skill. Use these exact names and rules in SKILL effect triplets.,Damage,health amount,0; Remove health from the target immediately.,Heal,health amount,0; Restore health to the target immediately.,Damage Over Time,health amount over duration,> 0 seconds; Damage the target over the entered duration.,Heal Over Time,health amount over duration,> 0 seconds; Heal the target over the entered duration.,Drain Mana,mana amount,0; Remove mana from the target immediately.,Charge Mana,mana amount,0; Give mana to the target immediately.,Drain Mana Over Time,mana amount over duration,> 0 seconds; Remove mana from the target over time.,,,
REFERENCE,2,,,,,,,,Effect reference 2/3,,,,,,,,,,,,,,Do not turn this row into a skill. Use these exact names and rules in SKILL effect triplets.,Charge Mana Over Time,mana amount over duration,> 0 seconds; Give mana to the target over time.,Reduce Rage,rage amount,0; Remove rage from the target immediately.,Generate Rage,rage amount,0; Give rage to the target immediately.,Drain Rage Over Time,rage amount over duration,> 0 seconds; Remove rage from the target over time.,Generate Rage Over Time,rage amount over duration,> 0 seconds; Give rage to the target over time.,Siphon Health,health amount,0; Drain health from the target and return it to the user.,Siphon Mana,mana amount,0; Drain mana from the target and return it to the user.,,,
REFERENCE,2,,,,,,,,Effect reference 3/3,,,,,,,,,,,,,,Do not turn this row into a skill. Use these exact names and rules in SKILL effect triplets.,Siphon Rage,rage amount,0; Drain rage from the target and return it to the user.,Slow,0 (ignored; no percentage),> 0 seconds; Slow the target for the duration; the game exposes duration only.,Root In Place,0 (ignored),> 0 seconds; Prevent the target from moving for the duration.,Stun,0 (ignored),> 0 seconds; Prevent the target from acting for the duration.,Protect,protection percentage,> 0 seconds; Reduce damage received by the target for the duration.,Weaken,weakening percentage,> 0 seconds; Increase damage received by the target for the duration.,Taunt,0 (ignored),> 0 seconds; Force/encourage the target to attack the user for the duration.,,,
SKILL,2,,,,,,1,1,Rusty Slash,Attack,Instant,0,1,Melee,Single,Dark,Arc,attack,true,0,0,0,The Skeleton unleashes Rusty Slash with instinctive menace.,Damage,2,0,,,,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,2,1,Bone Rattle,Attack,Instant,0,5,Missile,Single,Dark,Straight,castswish,false,0,0,2,The Skeleton unleashes Bone Rattle with instinctive menace.,Damage Over Time,3,5,,,,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,3,2,Grave Fury,Buff,Instant,1,30,Self,Single,Dark,Skybeam,castcharge,false,0,0,0,The Skeleton unleashes Grave Fury with instinctive menace.,Generate Rage,5,0,,,,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,4,4,Rib Shot,Attack,Instant,1,5,Missile,Small Area,Dark,Ballistic,castforce,false,0,0,2,The Skeleton unleashes Rib Shot with instinctive menace.,Damage,3,0,,,,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,5,6,Bone Guard,Buff,Instant,0,10,Self,Single,Dark,Skybeam,castcharge,false,0,0,2,The Skeleton unleashes Bone Guard with instinctive menace.,Protect,25,3,,,,,,,,,,,,,,,,,,,,,
