record_type,schema_version,character_name,health,mana,rage,speed,slot,unlock_level,name,definition,activation_type,cast_time,cooldown,range_type,target_area,element,path,animation,use_weapon_animation,health_cost,mana_cost,rage_cost,description,effect_1_type,effect_1_value,effect_1_duration,effect_2_type,effect_2_value,effect_2_duration,effect_3_type,effect_3_value,effect_3_duration,effect_4_type,effect_4_value,effect_4_duration,effect_5_type,effect_5_value,effect_5_duration,effect_6_type,effect_6_value,effect_6_duration,effect_7_type,effect_7_value,effect_7_duration,effect_8_type,effect_8_value,effect_8_duration
SCHEMA,2,text; required,number > 0,number >= 0,number >= 0,number >= 0,unique integer 1-12,integer >= 1,text; required,Attack|Heal|Buff|Debuff|<blank>,Instant,seconds: 0|0.5|1|2|3|4|5,seconds: 1|2|3|4|5|10|30|60,Self|Melee|Missile|number >= 0,Single|Small Area|Large Area|number >= 0,Physical|Light|Dark|Fire|Ice|Water|Electric|Earth,Arc|Ballistic|Straight|Missile|Skybeam,attack|attackdouble|attackheavy|attackspin|attackheadbutt|cast|castcharge|castswish|castforce,true|false,number >= 0,number >= 0,number >= 0,text; <blank> erases; blank preserves base PNG,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect
CHARACTER,2,Vampire B,24,20,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REFERENCE,2,,,,,,,,Effect reference 1/3,,,,,,,,,,,,,,Do not turn this row into a skill. Use these exact names and rules in SKILL effect triplets.,Damage,health amount,0; Remove health from the target immediately.,Heal,health amount,0; Restore health to the target immediately.,Damage Over Time,health amount over duration,> 0 seconds; Damage the target over the entered duration.,Heal Over Time,health amount over duration,> 0 seconds; Heal the target over the entered duration.,Drain Mana,mana amount,0; Remove mana from the target immediately.,Charge Mana,mana amount,0; Give mana to the target immediately.,Drain Mana Over Time,mana amount over duration,> 0 seconds; Remove mana from the target over time.,,,
REFERENCE,2,,,,,,,,Effect reference 2/3,,,,,,,,,,,,,,Do not turn this row into a skill. Use these exact names and rules in SKILL effect triplets.,Charge Mana Over Time,mana amount over duration,> 0 seconds; Give mana to the target over time.,Reduce Rage,rage amount,0; Remove rage from the target immediately.,Generate Rage,rage amount,0; Give rage to the target immediately.,Drain Rage Over Time,rage amount over duration,> 0 seconds; Remove rage from the target over time.,Generate Rage Over Time,rage amount over duration,> 0 seconds; Give rage to the target over time.,Siphon Health,health amount,0; Drain health from the target and return it to the user.,Siphon Mana,mana amount,0; Drain mana from the target and return it to the user.,,,
REFERENCE,2,,,,,,,,Effect reference 3/3,,,,,,,,,,,,,,Do not turn this row into a skill. Use these exact names and rules in SKILL effect triplets.,Siphon Rage,rage amount,0; Drain rage from the target and return it to the user.,Slow,0 (ignored; no percentage),> 0 seconds; Slow the target for the duration; the game exposes duration only.,Root In Place,0 (ignored),> 0 seconds; Prevent the target from moving for the duration.,Stun,0 (ignored),> 0 seconds; Prevent the target from acting for the duration.,Protect,protection percentage,> 0 seconds; Reduce damage received by the target for the duration.,Weaken,weakening percentage,> 0 seconds; Increase damage received by the target for the duration.,Taunt,0 (ignored),> 0 seconds; Force/encourage the target to attack the user for the duration.,,,
SKILL,2,,,,,,1,1,Blood Bolt,Attack,Instant,0,1,Missile,Single,Dark,Missile,castswish,false,0,0,0,The Vampire B unleashes Blood Bolt with instinctive menace.,Damage,2,0,,,,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,2,1,Crimson Curse,Attack,Instant,0,5,Missile,Single,Dark,Straight,cast,false,0,2,0,The Vampire B unleashes Crimson Curse with instinctive menace.,Damage Over Time,3,5,,,,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,3,2,Night Focus,Buff,Instant,1,30,Self,Single,Dark,Skybeam,castcharge,false,0,0,0,The Vampire B unleashes Night Focus with instinctive menace.,Charge Mana,5,0,,,,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,4,4,Shadow Mist,Attack,Instant,1,5,Missile,Small Area,Dark,Ballistic,castforce,false,0,2,0,The Vampire B unleashes Shadow Mist with instinctive menace.,Damage,3,0,,,,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,5,6,Mist Form,Buff,Instant,0,10,Self,Single,Dark,Skybeam,castcharge,false,0,2,0,The Vampire B unleashes Mist Form with instinctive menace.,Protect,20,3,,,,,,,,,,,,,,,,,,,,,
