record_type,schema_version,character_name,health,mana,rage,speed,slot,unlock_level,name,definition,activation_type,cast_time,cooldown,range_type,target_area,element,path,animation,use_weapon_animation,health_cost,mana_cost,rage_cost,description,effect_1_type,effect_1_value,effect_1_duration,effect_2_type,effect_2_value,effect_2_duration,effect_3_type,effect_3_value,effect_3_duration,effect_4_type,effect_4_value,effect_4_duration,effect_5_type,effect_5_value,effect_5_duration,effect_6_type,effect_6_value,effect_6_duration,effect_7_type,effect_7_value,effect_7_duration,effect_8_type,effect_8_value,effect_8_duration
SCHEMA,2,text; required,number > 0,number >= 0,number >= 0,number >= 0,unique integer 1-12,integer >= 1,text; required,Attack|Heal|Buff|Debuff|<blank>,Instant,seconds: 0|0.5|1|2|3|4|5,seconds: 1|2|3|4|5|10|30|60,Self|Melee|Missile|number >= 0,Single|Small Area|Large Area|number >= 0,Physical|Light|Dark|Fire|Ice|Water|Electric|Earth,Arc|Ballistic|Straight|Missile|Skybeam,attack|attackdouble|attackheavy|attackspin|attackheadbutt|cast|castcharge|castswish|castforce,true|false,number >= 0,number >= 0,number >= 0,text; <blank> erases; blank preserves base PNG,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect,Damage|Heal|Damage Over Time|Heal Over Time|Drain Mana|Charge Mana|Drain Mana Over Time|Charge Mana Over Time|Reduce Rage|Generate Rage|Drain Rage Over Time|Generate Rage Over Time|Siphon Health|Siphon Mana|Siphon Rage|Slow|Root In Place|Stun|Protect|Weaken|Taunt,number >= 0,seconds >= 0; required for timed/control/protect
CHARACTER,2,Pirate,15,0,13,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REFERENCE,2,,,,,,,,Effect reference 1/3,,,,,,,,,,,,,,Do not turn this row into a skill. Use these exact names and rules in SKILL effect triplets.,Damage,health amount,0; Remove health from the target immediately.,Heal,health amount,0; Restore health to the target immediately.,Damage Over Time,health amount over duration,> 0 seconds; Damage the target over the entered duration.,Heal Over Time,health amount over duration,> 0 seconds; Heal the target over the entered duration.,Drain Mana,mana amount,0; Remove mana from the target immediately.,Charge Mana,mana amount,0; Give mana to the target immediately.,Drain Mana Over Time,mana amount over duration,> 0 seconds; Remove mana from the target over time.,,,
REFERENCE,2,,,,,,,,Effect reference 2/3,,,,,,,,,,,,,,Do not turn this row into a skill. Use these exact names and rules in SKILL effect triplets.,Charge Mana Over Time,mana amount over duration,> 0 seconds; Give mana to the target over time.,Reduce Rage,rage amount,0; Remove rage from the target immediately.,Generate Rage,rage amount,0; Give rage to the target immediately.,Drain Rage Over Time,rage amount over duration,> 0 seconds; Remove rage from the target over time.,Generate Rage Over Time,rage amount over duration,> 0 seconds; Give rage to the target over time.,Siphon Health,health amount,0; Drain health from the target and return it to the user.,Siphon Mana,mana amount,0; Drain mana from the target and return it to the user.,,,
REFERENCE,2,,,,,,,,Effect reference 3/3,,,,,,,,,,,,,,Do not turn this row into a skill. Use these exact names and rules in SKILL effect triplets.,Siphon Rage,rage amount,0; Drain rage from the target and return it to the user.,Slow,0 (ignored; no percentage),> 0 seconds; Slow the target for the duration; the game exposes duration only.,Root In Place,0 (ignored),> 0 seconds; Prevent the target from moving for the duration.,Stun,0 (ignored),> 0 seconds; Prevent the target from acting for the duration.,Protect,protection percentage,> 0 seconds; Reduce damage received by the target for the duration.,Weaken,weakening percentage,> 0 seconds; Increase damage received by the target for the duration.,Taunt,0 (ignored),> 0 seconds; Force/encourage the target to attack the user for the duration.,,,
SKILL,2,,,,,,1,1,Cutlass Jab,Attack,Instant,0,1,Melee,Single,Physical,Arc,attack,true,0,0,0,Cutlass Jab is delivered with salt spray and shameless bravado.,Damage,3,0,,,,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,2,1,Pistol Shot,Attack,Instant,0,3,Missile,Single,Physical,Straight,attack,true,0,0,2,Pistol Shot is delivered with salt spray and shameless bravado.,Damage,3,0,,,,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,3,2,Pocket Sand,Debuff,Instant,0,5,Melee,Single,Earth,Arc,attack,false,0,0,2,Pocket Sand is delivered with salt spray and shameless bravado.,Stun,0,1,Weaken,15,3,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,4,4,Grog Swig,Heal,Instant,0,10,Self,Single,Water,Skybeam,castcharge,false,0,0,3,Grog Swig is delivered with salt spray and shameless bravado.,Heal,4,0,,,,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,5,6,Broadside,Attack,Instant,1,10,Missile,Small Area,Fire,Ballistic,attackheavy,true,0,0,4,Broadside is delivered with salt spray and shameless bravado.,Damage,5,0,,,,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,6,8,Sea Legs,Buff,Instant,0,10,Self,Single,Water,Skybeam,attackspin,false,0,0,3,Sea Legs is delivered with salt spray and shameless bravado.,Protect,20,3,,,,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,7,10,Hook and Drag,Debuff,Instant,0,10,Missile,Single,Physical,Arc,attack,true,0,0,3,Hook and Drag is delivered with salt spray and shameless bravado.,Damage,2,0,Root In Place,0,2,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,8,12,Powder Burn,Attack,Instant,0.5,10,Missile,Single,Fire,Straight,attack,true,0,0,4,Powder Burn is delivered with salt spray and shameless bravado.,Damage,2,0,Damage Over Time,4,4,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,9,14,Plunder Mana,Debuff,Instant,0,30,Melee,Single,Dark,Arc,attack,true,0,0,3,Plunder Mana is delivered with salt spray and shameless bravado.,Siphon Mana,5,0,,,,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,10,16,Blade Flurry,Attack,Instant,0,10,Melee,Small Area,Physical,Arc,attackdouble,true,0,0,5,Blade Flurry is delivered with salt spray and shameless bravado.,Damage,7,0,,,,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,11,18,Captains Challenge,Debuff,Instant,0,30,Self,Large Area,Physical,Skybeam,castforce,false,0,0,4,Captains Challenge is delivered with salt spray and shameless bravado.,Taunt,0,5,,,,,,,,,,,,,,,,,,,,,
SKILL,2,,,,,,12,20,Kraken Volley,Attack,Instant,2,60,Missile,Large Area,Water,Ballistic,castforce,false,0,0,7,Kraken Volley is delivered with salt spray and shameless bravado.,Damage,8,0,Slow,0,5,,,,,,,,,,,,,,,,,,
